id,latitude,longitude,count
68685,36.74003,-122.036913,1
31785,37.8036,-122.5161,1
140016,27.8,-115.1,1
134805,27.8,-115.1,1
123412,27.8,-115.1,1
67182,27.8,-115.1,1
53515,27.8,-115.1,1
30705,27.8,-115.1,1
23051,27.8,-115.1,1
76312,33.537603,-118.400173,1
74513,33.51801,-118.421888,1
42095,33.567457,-118.4399,1
79526,33.533063,-118.445503,1
135728,36.781758,-121.831019,1
1251,36.781758,-121.831019,1
124385,36.78443,-121.874625,1
135746,36.746667,-121.878333,1
26287,36.783665,-121.879331,1
10446,36.829108,-122.003462,1
3608,22.9433,-109.8035,1
143414,36.803268,-121.914685,1
47561,36.812033,-121.954679,1
46587,36.812033,-121.954679,1
111998,36.789832,-121.921865,1
80022,36.798083,-121.841244,1
77276,36.775557,-121.88645,1
125910,36.785663,-121.887943,1
58125,36.786423,-121.888697,1
51353,36.8,-122,1
44394,36.8,-122,1
49042,36.787247,-121.837218,1
9570,36.79268,-121.84376,1
33113,36.71,-121.863333,1
27710,36.71,-121.863333,1
54529,36.80086,-121.86504,1
52349,36.791653,-121.875357,1
15506,36.797068,-121.88093,1
74034,36.785483,-121.883282,1
51846,36.785483,-121.883282,1
25007,36.781243,-121.894532,1
112904,36.791355,-121.908153,1
120294,36.783192,-121.939338,1
4064,36.765837,-121.971718,1
85406,36.660177,-121.97359,1
69979,36.735712,-121.989555,1
45862,36.644877,-122.011373,1
120736,20.663787,-105.391395,1
95615,36.791283,-121.872313,1
108772,36.788228,-121.897997,1
34613,36.788707,-121.898667,1
42590,36.784,-121.904,1
101409,36.795232,-121.912292,1
83122,36.77092,-121.929818,1
42587,36.747167,-121.9485,1
17252,55.338233,-131.643427,1
88622,32.754,-117.3084,1
108300,36.805127,-121.803055,1
58087,36.795523,-121.823013,1
